index,pos,driver,gap,time_remaining
1,1,Valtteri,- -,00:09:09
1,2,Lewis,- -,00:09:09
1,3,Pierre,- -,00:09:09
1,4,Daniel,- -,00:09:09
1,5,Lando,- -,00:09:09
1,6,Nico,- -,00:09:09
1,7,Alexander,- -,00:09:09
1,8,Lance,- -,00:09:09
1,9,Charles,- -,00:09:09
1,10,Max,- -,00:09:09
1,11,Esteban,- -,00:09:09
1,12,Sebastian,- -,00:09:09
1,13,Carlos,- -,00:09:09
1,14,Romain,- -,00:09:09
1,15,George,- -,00:09:09
1,16,Daniil,- -,00:09:09
1,17,Kevin,- -,00:09:09
1,18,Nicholas,- -,00:09:09
1,19,Antonio,- -,00:09:09
1,20,Kimi,- -,00:09:09
2,1,Valtteri,- -,00:09:05
2,2,Nico,- -,00:09:05
2,3,Lewis,- -,00:09:05
2,4,Pierre,- -,00:09:05
2,5,Daniel,- -,00:09:05
2,6,Lando,- -,00:09:05
2,7,Alexander,- -,00:09:05
2,8,Lance,- -,00:09:05
2,9,Charles,- -,00:09:05
2,10,Max,- -,00:09:05
2,11,Esteban,- -,00:09:05
2,12,Sebastian,- -,00:09:05
2,13,Carlos,- -,00:09:05
2,14,Romain,- -,00:09:05
2,15,George,- -,00:09:05
2,16,Daniil,- -,00:09:05
2,17,Kevin,- -,00:09:05
2,18,Nicholas,- -,00:09:05
2,19,Antonio,- -,00:09:05
2,20,Kimi,- -,00:09:05
3,1,Valtteri,- -,00:09:01
3,2,Nico,- -,00:09:01
3,3,Lewis,- -,00:09:01
3,4,Pierre,- -,00:09:01
3,5,Daniel,- -,00:09:01
3,6,Max,- -,00:09:01
3,7,Lando,- -,00:09:01
3,8,Alexander,- -,00:09:01
3,9,Lance,- -,00:09:01
3,10,Charles,- -,00:09:01
3,11,Esteban,- -,00:09:01
3,12,Sebastian,- -,00:09:01
3,13,Carlos,- -,00:09:01
3,14,Romain,- -,00:09:01
3,15,George,- -,00:09:01
3,16,Daniil,- -,00:09:01
3,17,Kevin,- -,00:09:01
3,18,Nicholas,- -,00:09:01
3,19,Antonio,- -,00:09:01
3,20,Kimi,- -,00:09:01
4,1,Valtteri,- -,00:08:58
4,2,Nico,- -,00:08:58
4,3,Lewis,- -,00:08:58
4,4,Pierre,- -,00:08:58
4,5,Daniel,- -,00:08:58
4,6,Alexander,- -,00:08:58
4,7,Max,- -,00:08:58
4,8,Lando,- -,00:08:58
4,9,Lance,- -,00:08:58
4,10,Charles,- -,00:08:58
4,11,Esteban,- -,00:08:58
4,12,Sebastian,- -,00:08:58
4,13,Carlos,- -,00:08:58
4,14,Romain,- -,00:08:58
4,15,George,- -,00:08:58
4,16,Daniil,- -,00:08:58
4,17,Kevin,- -,00:08:58
4,18,Nicholas,- -,00:08:58
4,19,Antonio,- -,00:08:58
4,20,Kimi,- -,00:08:58
5,1,Valtteri,- -,00:08:53
5,2,Nico,- -,00:08:53
5,3,Lewis,- -,00:08:53
5,4,Pierre,- -,00:08:53
5,5,Daniel,- -,00:08:53
5,6,Alexander,- -,00:08:53
5,7,Max,- -,00:08:53
5,8,Lando,- -,00:08:53
5,9,Lance,,00:08:53
5,10,Charles,- -,00:08:53
5,11,Esteban,- -,00:08:53
5,12,Sebastian,- -,00:08:53
5,13,Carlos,- -,00:08:53
5,14,Romain,- -,00:08:53
5,15,George,- -,00:08:53
5,16,Daniil,- -,00:08:53
5,17,Kevin,- -,00:08:53
5,18,Nicholas,- -,00:08:53
5,19,Antonio,- -,00:08:53
5,20,Kimi,- -,00:08:53
6,1,Valtteri,- -,00:08:51
6,2,Nico,- -,00:08:51
6,3,Lewis,- -,00:08:51
6,4,Pierre,- -,00:08:51
6,5,Daniel,- -,00:08:51
6,6,Alexander,- -,00:08:51
6,7,Charles,- -,00:08:51
6,8,Max,- -,00:08:51
6,9,Lando,- -,00:08:51
6,10,Lance,- -,00:08:51
6,11,Esteban,- -,00:08:51
6,12,Sebastian,- -,00:08:51
6,13,Carlos,- -,00:08:51
6,14,Romain,- -,00:08:51
6,15,George,- -,00:08:51
6,16,Daniil,- -,00:08:51
6,17,Kevin,- -,00:08:51
6,18,Nicholas,- -,00:08:51
6,19,Antonio,- -,00:08:51
6,20,Kimi,- -,00:08:51
7,1,Valtteri,- -,00:08:48
7,2,Nico,- -,00:08:48
7,3,Lewis,- -,00:08:48
7,4,Pierre,- -,00:08:48
7,5,Daniel,- -,00:08:48
7,6,Alexander,- -,00:08:48
7,7,Charles,- -,00:08:48
7,8,Max,- -,00:08:48
7,9,Lando,- -,00:08:48
7,10,Lance,- -,00:08:48
7,11,Esteban,- -,00:08:48
7,12,Sebastian,- -,00:08:48
7,13,Carlos,- -,00:08:48
7,14,Romain,- -,00:08:48
7,15,George,- -,00:08:48
7,16,Daniil,- -,00:08:48
7,17,Kevin,- -,00:08:48
7,18,Nicholas,- -,00:08:48
7,19,Antonio,- -,00:08:48
7,20,Kimi,- -,00:08:48
8,1,Valtteri,- -,00:08:44
8,2,Nico,- -,00:08:44
8,3,Lewis,- -,00:08:44
8,4,Pierre,- -,00:08:44
8,5,Daniel,- -,00:08:44
8,6,Alexander,- -,00:08:44
8,7,Lance,- -,00:08:44
8,8,Charles,- -,00:08:44
8,9,Max,- -,00:08:44
8,10,Lando,- -,00:08:44
8,11,Esteban,- -,00:08:44
8,12,Sebastian,- -,00:08:44
8,13,Carlos,- -,00:08:44
8,14,Romain,- -,00:08:44
8,15,George,- -,00:08:44
8,16,Daniil,- -,00:08:44
8,17,Kevin,- -,00:08:44
8,18,Nicholas,- -,00:08:44
8,19,Antonio,- -,00:08:44
8,20,Kimi,- -,00:08:44
9,1,Valtteri,- -,00:08:41
9,2,Nico,- -,00:08:41
9,3,Lewis,- -,00:08:41
9,4,Pierre,- -,00:08:41
9,5,Daniel,- -,00:08:41
9,6,Alexander,- -,00:08:41
9,7,Lance,- -,00:08:41
9,8,Charles,- -,00:08:41
9,9,Max,- -,00:08:41
9,10,Lando,- -,00:08:41
9,11,Esteban,- -,00:08:41
9,12,Sebastian,- -,00:08:41
9,13,Carlos,- -,00:08:41
9,14,Romain,- -,00:08:41
9,15,George,- -,00:08:41
9,16,Daniil,- -,00:08:41
9,17,Kevin,- -,00:08:41
9,18,Nicholas,- -,00:08:41
9,19,Antonio,- -,00:08:41
9,20,Kimi,- -,00:08:41
10,1,Valtteri,- -,00:08:38
10,2,Nico,- -,00:08:38
10,3,Lewis,- -,00:08:38
10,4,Pierre,- -,00:08:38
10,5,Daniel,- -,00:08:38
10,6,Alexander,- -,00:08:38
10,7,Lance,- -,00:08:38
10,8,Charles,- -,00:08:38
10,9,Max,- -,00:08:38
10,10,Lando,- -,00:08:38
10,11,Esteban,- -,00:08:38
10,12,Sebastian,- -,00:08:38
10,13,Carlos,- -,00:08:38
10,14,Romain,- -,00:08:38
10,15,George,- -,00:08:38
10,16,Daniil,- -,00:08:38
10,17,Kevin,- -,00:08:38
10,18,Nicholas,- -,00:08:38
10,19,Antonio,- -,00:08:38
