UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_ASSETS),Year
0JQ,Vision Airlines,1,7376.0,2013
0JQ,Vision Airlines,2,9946.0,2013
0JQ,Vision Airlines,3,11058.0,2013
0JQ,Vision Airlines,4,9094.0,2013
0WQ,Avjet Corporation,1,12555.0,2013
0WQ,Avjet Corporation,2,14879.0,2013
0WQ,Avjet Corporation,3,13962.0,2013
0WQ,Avjet Corporation,4,14036.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,11421.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,14949.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,17614.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,15032.0,2013
5X,United Parcel Service,1,-1920512.0,2013
5X,United Parcel Service,2,-2262511.0,2013
5X,United Parcel Service,3,-1395338.0,2013
5X,United Parcel Service,4,-2193678.0,2013
5Y,Atlas Air Inc.,1,453523.0,2013
5Y,Atlas Air Inc.,2,693431.0,2013
5Y,Atlas Air Inc.,3,382903.0,2013
5Y,Atlas Air Inc.,4,382903.0,2013
8C,Air Transport International,1,3619.0,2013
8C,Air Transport International,2,10553.0,2013
8C,Air Transport International,3,10758.0,2013
8C,Air Transport International,4,16352.0,2013
9E,Endeavor Air Inc.,1,20751.0,2013
9E,Endeavor Air Inc.,2,140238.0,2013
9E,Endeavor Air Inc.,3,137840.0,2013
9E,Endeavor Air Inc.,4,97827.0,2013
9S,Southern Air Inc.,1,40432.0,2013
9S,Southern Air Inc.,2,35315.0,2013
9S,Southern Air Inc.,3,31213.0,2013
9S,Southern Air Inc.,4,5228.0,2013
AA,American Airlines Inc.,1,7471164.0,2013
AA,American Airlines Inc.,2,9586739.0,2013
AA,American Airlines Inc.,3,10200405.0,2013
AA,American Airlines Inc.,4,9176371.0,2013
ABX,ABX Air Inc,1,399188.0,2013
ABX,ABX Air Inc,2,397133.0,2013
ABX,ABX Air Inc,3,376261.0,2013
ABX,ABX Air Inc,4,379638.0,2013
AS,Alaska Airlines Inc.,1,2184265.0,2013
AS,Alaska Airlines Inc.,2,2400966.0,2013
AS,Alaska Airlines Inc.,3,2469766.0,2013
AS,Alaska Airlines Inc.,4,2407133.0,2013
B6,JetBlue Airways,1,1286059.0,2013
B6,JetBlue Airways,2,1324972.0,2013
B6,JetBlue Airways,3,1382610.0,2013
B6,JetBlue Airways,4,1056277.0,2013
CP (2),Compass Airlines,1,33669.0,2013
CP (2),Compass Airlines,2,36132.0,2013
CP (2),Compass Airlines,3,29856.0,2013
CP (2),Compass Airlines,4,29687.0,2013
DL,Delta Air Lines Inc.,1,9065133.0,2013
DL,Delta Air Lines Inc.,2,9289772.0,2013
DL,Delta Air Lines Inc.,3,9361468.0,2013
DL,Delta Air Lines Inc.,4,10065453.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,1,555386.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,2,590298.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,3,587408.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,4,557802.0,2013
EZ,Evergreen International Inc.,1,22067.0,2013
EZ,Evergreen International Inc.,2,26500.0,2013
EZ,Evergreen International Inc.,3,25064.0,2013
EZ,Evergreen International Inc.,4,,2013
F9,Frontier Airlines Inc.,1,131993.0,2013
F9,Frontier Airlines Inc.,2,137528.0,2013
F9,Frontier Airlines Inc.,3,180724.0,2013
