UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_LIABILITIES),Year
0JQ,Vision Airlines,1,30509.0,2013
0JQ,Vision Airlines,2,31700.0,2013
0JQ,Vision Airlines,3,32577.0,2013
0JQ,Vision Airlines,4,32652.0,2013
0WQ,Avjet Corporation,1,8087.0,2013
0WQ,Avjet Corporation,2,8859.0,2013
0WQ,Avjet Corporation,3,7231.0,2013
0WQ,Avjet Corporation,4,7593.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,6176.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,6196.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,5929.0,2013
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,4410.0,2013
5X,United Parcel Service,1,645110.0,2013
5X,United Parcel Service,2,679250.0,2013
5X,United Parcel Service,3,669777.0,2013
5X,United Parcel Service,4,722315.0,2013
5Y,Atlas Air Inc.,1,370077.0,2013
5Y,Atlas Air Inc.,2,378379.0,2013
5Y,Atlas Air Inc.,3,382569.0,2013
5Y,Atlas Air Inc.,4,382569.0,2013
8C,Air Transport International,1,22668.0,2013
8C,Air Transport International,2,27084.0,2013
8C,Air Transport International,3,21822.0,2013
8C,Air Transport International,4,31307.0,2013
9E,Endeavor Air Inc.,1,391089.0,2013
9E,Endeavor Air Inc.,2,152938.0,2013
9E,Endeavor Air Inc.,3,138386.0,2013
9E,Endeavor Air Inc.,4,92813.0,2013
9S,Southern Air Inc.,1,92584.0,2013
9S,Southern Air Inc.,2,35863.0,2013
9S,Southern Air Inc.,3,30904.0,2013
9S,Southern Air Inc.,4,725.0,2013
AA,American Airlines Inc.,1,12611108.0,2013
AA,American Airlines Inc.,2,13310239.0,2013
AA,American Airlines Inc.,3,12764929.0,2013
AA,American Airlines Inc.,4,12239685.0,2013
ABX,ABX Air Inc,1,46602.0,2013
ABX,ABX Air Inc,2,52122.0,2013
ABX,ABX Air Inc,3,50358.0,2013
ABX,ABX Air Inc,4,50240.0,2013
AS,Alaska Airlines Inc.,1,1711555.0,2013
AS,Alaska Airlines Inc.,2,1865062.0,2013
AS,Alaska Airlines Inc.,3,1806713.0,2013
AS,Alaska Airlines Inc.,4,1819592.0,2013
B6,JetBlue Airways,1,1961659.0,2013
B6,JetBlue Airways,2,2122390.0,2013
B6,JetBlue Airways,3,2033328.0,2013
B6,JetBlue Airways,4,1874037.0,2013
CP (2),Compass Airlines,1,12355.0,2013
CP (2),Compass Airlines,2,12906.0,2013
CP (2),Compass Airlines,3,14733.0,2013
CP (2),Compass Airlines,4,12742.0,2013
DL,Delta Air Lines Inc.,1,14366620.0,2013
DL,Delta Air Lines Inc.,2,15031510.0,2013
DL,Delta Air Lines Inc.,3,14417017.0,2013
DL,Delta Air Lines Inc.,4,14448266.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,1,269524.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,2,259913.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,3,274097.0,2013
EV,ExpressJet Airlines LLC d/b/a aha!,4,265765.0,2013
EZ,Evergreen International Inc.,1,91505.0,2013
EZ,Evergreen International Inc.,2,113019.0,2013
EZ,Evergreen International Inc.,3,118993.0,2013
EZ,Evergreen International Inc.,4,,2013
F9,Frontier Airlines Inc.,1,397432.0,2013
F9,Frontier Airlines Inc.,2,403200.0,2013
F9,Frontier Airlines Inc.,3,359930.0,2013
F9,Frontier Airlines Inc.,4,350820.0,2013
FX,Federal Express Corporation,1,4236100.0,2013
FX,Federal Express Corporation,2,4311776.0,2013
FX,Federal Express Corporation,3,4282765.0,2013
FX,Federal Express Corporation,4,3877715.0,2013
G4,Allegiant Air,1,255333.0,2013
G4,Allegiant Air,2,247004.0,2013
G4,Allegiant Air,3,226393.0,2013
G4,Allegiant Air,4,251362.0,2013
G7,GoJet Airlines LLC d/b/a United Express,1,32605.0,2013
G7,GoJet Airlines LLC d/b/a United Express,2,31991.0,2013
G7,GoJet Airlines LLC d/b/a United Express,3,35470.0,2013
G7,GoJet Airlines LLC d/b/a United Express,4,32768.0,2013
GFQ,Gulf And Caribbean Cargo,1,19538.0,2013
GFQ,Gulf And Caribbean Cargo,2,22365.0,2013
GFQ,Gulf And Caribbean Cargo,3,17528.0,2013
GFQ,Gulf And Caribbean Cargo,4,18999.0,2013
GL,Miami Air International,1,19130.0,2013
GL,Miami Air International,2,18056.0,2013
GL,Miami Air International,3,14629.0,2013
GL,Miami Air International,4,21116.0,2013
HA,Hawaiian Airlines Inc.,1,747847.0,2013
HA,Hawaiian Airlines Inc.,2,805221.0,2013
HA,Hawaiian Airlines Inc.,3,739918.0,2013
HA,Hawaiian Airlines Inc.,4,654800.0,2013
KAQ,Kalitta Air LLC,1,94054.0,2013
KAQ,Kalitta Air LLC,2,94356.0,2013
KAQ,Kalitta Air LLC,3,96585.0,2013
KAQ,Kalitta Air LLC,4,96167.0,2013
KH,Aloha Air Cargo,1,5202.0,2013
KH,Aloha Air Cargo,2,5454.0,2013
KH,Aloha Air Cargo,3,3902.0,2013
KH,Aloha Air Cargo,4,6183.0,2013
KLQ,Kalitta Charters II,1,1474.0,2013
KLQ,Kalitta Charters II,2,1356.0,2013
KLQ,Kalitta Charters II,3,2774.0,2013
KLQ,Kalitta Charters II,4,1665.0,2013
L2,Lynden Air Cargo Airlines,1,8401.0,2013
L2,Lynden Air Cargo Airlines,2,8492.0,2013
L2,Lynden Air Cargo Airlines,3,8159.0,2013
L2,Lynden Air Cargo Airlines,4,4774.0,2013
M6,Amerijet International,1,46449.0,2013
M6,Amerijet International,2,45843.0,2013
M6,Amerijet International,3,47908.0,2013
M6,Amerijet International,4,49342.0,2013
MQ,Envoy Air,1,196405.0,2013
MQ,Envoy Air,2,202344.0,2013
MQ,Envoy Air,3,202344.0,2013
MQ,Envoy Air,4,192407.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,1,18962.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,2,-26841.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,3,21681.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,4,22895.0,2013
,North American Airlines,1,16531.0,2013
,North American Airlines,2,11158.0,2013
,North American Airlines,3,4617.0,2013
,North American Airlines,4,15065.0,2013
NC,Northern Air Cargo Inc.,1,7819.0,2013
NC,Northern Air Cargo Inc.,2,10407.0,2013
NC,Northern Air Cargo Inc.,3,7869.0,2013
NC,Northern Air Cargo Inc.,4,8472.0,2013
NK,Spirit Air Lines,1,343262.0,2013
NK,Spirit Air Lines,2,380399.0,2013
NK,Spirit Air Lines,3,333893.0,2013
NK,Spirit Air Lines,4,339336.0,2013
OH,PSA Airlines Inc.,1,131082.0,2013
OH,PSA Airlines Inc.,2,126787.0,2013
OH,PSA Airlines Inc.,3,120806.0,2013
OH,PSA Airlines Inc.,4,129463.0,2013
OO,SkyWest Airlines Inc.,1,487990.0,2013
OO,SkyWest Airlines Inc.,2,512135.0,2013
OO,SkyWest Airlines Inc.,3,526646.0,2013
OO,SkyWest Airlines Inc.,4,550663.0,2013
OW,Executive Airlines,1,16796.0,2013
OW,Executive Airlines,2,,2013
OW,Executive Airlines,3,,2013
OW,Executive Airlines,4,,2013
PFQ,Asia Pacific,1,3600.0,2013
PFQ,Asia Pacific,2,3582.0,2013
PFQ,Asia Pacific,3,3558.0,2013
PFQ,Asia Pacific,4,3061.0,2013
PO,Polar Air Cargo Airways,1,74740.0,2013
PO,Polar Air Cargo Airways,2,74860.0,2013
PO,Polar Air Cargo Airways,3,78170.0,2013
PO,Polar Air Cargo Airways,4,65813.0,2013
PRQ,Florida West Airlines Inc.,1,3997.0,2013
PRQ,Florida West Airlines Inc.,2,4081.0,2013
PRQ,Florida West Airlines Inc.,3,3950.0,2013
PRQ,Florida West Airlines Inc.,4,3531.0,2013
QX,Horizon Air,1,227126.0,2013
QX,Horizon Air,2,270910.0,2013
QX,Horizon Air,3,265440.0,2013
QX,Horizon Air,4,247271.0,2013
RP,Chautauqua Airlines Inc.,1,94912.0,2013
RP,Chautauqua Airlines Inc.,2,91628.0,2013
RP,Chautauqua Airlines Inc.,3,97772.0,2013
RP,Chautauqua Airlines Inc.,4,101271.0,2013
S5,Shuttle America Corp.,1,135651.0,2013
S5,Shuttle America Corp.,2,108014.0,2013
S5,Shuttle America Corp.,3,110452.0,2013
S5,Shuttle America Corp.,4,-1506.0,2013
SLQ,Sky King Inc.,1,12032.0,2013
SLQ,Sky King Inc.,2,12615.0,2013
SLQ,Sky King Inc.,3,12777.0,2013
SLQ,Sky King Inc.,4,13707.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,1,75184.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,2,75435.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,3,80644.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,4,91626.0,2013
U7,USA Jet Airlines Inc.,1,38293.0,2013
U7,USA Jet Airlines Inc.,2,37129.0,2013
U7,USA Jet Airlines Inc.,3,53499.0,2013
U7,USA Jet Airlines Inc.,4,50284.0,2013
UA,United Air Lines Inc.,1,13041706.0,2013
UA,United Air Lines Inc.,2,13043723.0,2013
UA,United Air Lines Inc.,3,12712401.0,2013
UA,United Air Lines Inc.,4,12224720.0,2013
US,US Airways Inc.,1,4411027.0,2013
US,US Airways Inc.,2,3685674.0,2013
US,US Airways Inc.,3,3635089.0,2013
US,US Airways Inc.,4,4438217.0,2013
VX,Virgin America,1,314434.0,2013
VX,Virgin America,2,336390.0,2013
VX,Virgin America,3,290474.0,2013
VX,Virgin America,4,248020.0,2013
WE,Centurion Cargo Inc.,1,70628.0,2013
WE,Centurion Cargo Inc.,2,62027.0,2013
WE,Centurion Cargo Inc.,3,76670.0,2013
WE,Centurion Cargo Inc.,4,76238.0,2013
WI,Sky Lease Cargo,1,29545.0,2013
WI,Sky Lease Cargo,2,22443.0,2013
WI,Sky Lease Cargo,3,3305.0,2013
WI,Sky Lease Cargo,4,934.0,2013
WN,Southwest Airlines Co.,1,5411263.0,2013
WN,Southwest Airlines Co.,2,5778736.0,2013
WN,Southwest Airlines Co.,3,5546378.0,2013
WN,Southwest Airlines Co.,4,5676195.0,2013
WO (1),World Airways Inc.,1,128436.0,2013
WO (1),World Airways Inc.,2,134009.0,2013
WO (1),World Airways Inc.,3,152469.0,2013
WO (1),World Airways Inc.,4,157840.0,2013
WP,Island Air Hawaii,1,11553.0,2013
WP,Island Air Hawaii,2,8761.0,2013
WP,Island Air Hawaii,3,6749.0,2013
WP,Island Air Hawaii,4,8405.0,2013
X9,Omni Air International LLC,1,35588.0,2013
X9,Omni Air International LLC,2,37064.0,2013
X9,Omni Air International LLC,3,30225.0,2013
X9,Omni Air International LLC,4,26536.0,2013
XP,TEM Enterprises dba  Avelo Airlines,1,6578.0,2013
XP,TEM Enterprises dba  Avelo Airlines,2,8771.0,2013
XP,TEM Enterprises dba  Avelo Airlines,3,9361.0,2013
XP,TEM Enterprises dba  Avelo Airlines,4,8347.0,2013
YV,Mesa Airlines Inc.,1,-25550.0,2013
YV,Mesa Airlines Inc.,2,-20218.0,2013
YV,Mesa Airlines Inc.,3,-5977.0,2013
YV,Mesa Airlines Inc.,4,-10124.0,2013
YX,Republic Airline,1,388235.0,2013
YX,Republic Airline,2,272129.0,2013
YX,Republic Airline,3,301512.0,2013
YX,Republic Airline,4,372415.0,2013
ZW,Air Wisconsin Airlines Corp,1,122809.0,2013
ZW,Air Wisconsin Airlines Corp,2,123794.0,2013
ZW,Air Wisconsin Airlines Corp,3,128225.0,2013
ZW,Air Wisconsin Airlines Corp,4,149428.0,2013
All Rows,All Rows (including those not displayed),1,64331429.0,2013
All Rows,All Rows (including those not displayed),2,65470491.0,2013
All Rows,All Rows (including those not displayed),3,63416325.0,2013
All Rows,All Rows (including those not displayed),4,62560951.0,2013
0JQ,Vision Airlines,1,34187.0,2014
0JQ,Vision Airlines,2,30475.0,2014
0JQ,Vision Airlines,3,19878.0,2014
0JQ,Vision Airlines,4,13055.0,2014
0WQ,Avjet Corporation,1,9596.0,2014
0WQ,Avjet Corporation,2,10730.0,2014
0WQ,Avjet Corporation,3,10529.0,2014
0WQ,Avjet Corporation,4,12077.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,5237.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,6078.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,5908.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,4538.0,2014
5X,United Parcel Service,1,776360.0,2014
5X,United Parcel Service,2,723945.0,2014
5X,United Parcel Service,3,706653.0,2014
5X,United Parcel Service,4,672174.0,2014
5Y,Atlas Air Inc.,1,326803.0,2014
5Y,Atlas Air Inc.,2,334069.0,2014
5Y,Atlas Air Inc.,3,316647.0,2014
5Y,Atlas Air Inc.,4,332167.0,2014
8C,Air Transport International,1,28862.0,2014
8C,Air Transport International,2,28951.0,2014
8C,Air Transport International,3,32422.0,2014
8C,Air Transport International,4,46639.0,2014
9E,Endeavor Air Inc.,1,89267.0,2014
9E,Endeavor Air Inc.,2,96163.0,2014
9E,Endeavor Air Inc.,3,96409.0,2014
9E,Endeavor Air Inc.,4,101499.0,2014
9S,Southern Air Inc.,1,31083.0,2014
9S,Southern Air Inc.,2,28683.0,2014
9S,Southern Air Inc.,3,28037.0,2014
9S,Southern Air Inc.,4,30269.0,2014
AA,American Airlines Inc.,1,12564534.0,2014
AA,American Airlines Inc.,2,12612883.0,2014
AA,American Airlines Inc.,3,12467391.0,2014
AA,American Airlines Inc.,4,11519669.0,2014
ABX,ABX Air Inc,1,51396.0,2014
ABX,ABX Air Inc,2,54172.0,2014
ABX,ABX Air Inc,3,57769.0,2014
ABX,ABX Air Inc,4,56393.0,2014
AS,Alaska Airlines Inc.,1,2009744.0,2014
AS,Alaska Airlines Inc.,2,2143961.0,2014
AS,Alaska Airlines Inc.,3,2034260.0,2014
AS,Alaska Airlines Inc.,4,2126957.0,2014
B6,JetBlue Airways,1,1945773.0,2014
B6,JetBlue Airways,2,1934377.0,2014
B6,JetBlue Airways,3,1916655.0,2014
B6,JetBlue Airways,4,1936482.0,2014
CP (2),Compass Airlines,1,12882.0,2014
CP (2),Compass Airlines,2,15508.0,2014
CP (2),Compass Airlines,3,14231.0,2014
CP (2),Compass Airlines,4,12023.0,2014
DL,Delta Air Lines Inc.,1,15396248.0,2014
DL,Delta Air Lines Inc.,2,15566848.0,2014
DL,Delta Air Lines Inc.,3,15177028.0,2014
DL,Delta Air Lines Inc.,4,17257570.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,1,265765.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,2,268932.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,3,277802.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,4,281838.0,2014
F9,Frontier Airlines Inc.,1,385983.0,2014
F9,Frontier Airlines Inc.,2,445289.0,2014
F9,Frontier Airlines Inc.,3,426195.0,2014
F9,Frontier Airlines Inc.,4,402264.0,2014
FX,Federal Express Corporation,1,4300730.0,2014
FX,Federal Express Corporation,2,4346566.0,2014
FX,Federal Express Corporation,3,4226371.0,2014
FX,Federal Express Corporation,4,3639054.0,2014
G4,Allegiant Air,1,299616.0,2014
G4,Allegiant Air,2,314025.0,2014
G4,Allegiant Air,3,321222.0,2014
G4,Allegiant Air,4,313121.0,2014
G7,GoJet Airlines LLC d/b/a United Express,1,35714.0,2014
G7,GoJet Airlines LLC d/b/a United Express,2,33301.0,2014
G7,GoJet Airlines LLC d/b/a United Express,3,34860.0,2014
G7,GoJet Airlines LLC d/b/a United Express,4,32038.0,2014
GFQ,Gulf And Caribbean Cargo,1,20860.0,2014
GFQ,Gulf And Caribbean Cargo,2,18383.0,2014
GFQ,Gulf And Caribbean Cargo,3,21461.0,2014
GFQ,Gulf And Caribbean Cargo,4,22886.0,2014
GL,Miami Air International,1,16573.0,2014
GL,Miami Air International,2,18313.0,2014
GL,Miami Air International,3,19133.0,2014
GL,Miami Air International,4,21264.0,2014
HA,Hawaiian Airlines Inc.,1,757452.0,2014
HA,Hawaiian Airlines Inc.,2,792904.0,2014
HA,Hawaiian Airlines Inc.,3,768816.0,2014
HA,Hawaiian Airlines Inc.,4,747649.0,2014
KAQ,Kalitta Air LLC,1,97314.0,2014
KAQ,Kalitta Air LLC,2,104511.0,2014
KAQ,Kalitta Air LLC,3,105314.0,2014
KAQ,Kalitta Air LLC,4,93056.0,2014
KD,Western Global,1,,2014
KD,Western Global,2,,2014
KD,Western Global,3,1283.0,2014
KD,Western Global,4,1750.0,2014
KH,Aloha Air Cargo,1,6576.0,2014
KH,Aloha Air Cargo,2,4386.0,2014
KH,Aloha Air Cargo,3,4787.0,2014
KH,Aloha Air Cargo,4,5582.0,2014
KLQ,Kalitta Charters II,1,2349.0,2014
