order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,1154,Cancelled,2016-01-06,2016-01-13,2016-01-12,3,7
2,727,Completed,2016-01-06,2016-01-20,2016-01-07,2,9
3,1196,Shipped,2016-01-06,2016-01-18,2016-01-18,2,6
4,770,Processing,2016-01-07,2016-01-17,2016-01-08,3,10
5,614,Completed,2016-01-07,2016-01-19,2016-01-10,2,5
6,1233,Completed,2016-01-07,2016-01-18,2016-01-08,3,7
7,354,Completed,2016-01-08,2016-01-17,2016-01-09,1,6
8,116,Processing,2016-01-09,2016-01-22,2016-01-14,2,5
9,1288,Cancelled,2016-01-11,2016-01-19,2016-01-18,3,2
10,662,Processing,2016-01-11,2016-01-21,2016-01-13,3,8
11,453,Shipped,2016-01-12,2016-01-18,2016-02-01,2,7
12,287,Pending,2016-01-13,2016-01-19,2016-01-14,1,6
13,1327,Processing,2016-01-13,2016-01-19,2016-01-17,2,5
14,1017,Processing,2016-01-13,2016-01-27,2016-01-25,3,5
15,311,Completed,2016-01-14,2016-01-25,2016-01-25,1,9
16,208,Completed,2016-01-15,2016-01-21,2016-01-20,2,1
17,618,Processing,2016-01-15,2016-01-21,2016-01-16,3,9
18,446,Completed,2016-01-16,2016-01-29,2016-01-19,2,6
19,670,Processing,2016-01-16,2016-01-27,2016-01-21,1,4
20,633,Completed,2016-01-17,2016-01-24,2016-01-18,1,10
21,55,Completed,2016-01-19,2016-01-26,2016-01-20,1,7
22,912,Processing,2016-01-20,2016-01-31,2016-01-21,1,9
23,1036,Completed,2016-01-20,2016-01-29,2016-01-27,1,5
24,657,Completed,2016-01-20,2016-02-03,2016-01-21,2,5
25,1424,Completed,2016-01-20,2016-01-30,2016-01-21,1,8
26,980,Shipped,2016-01-21,2016-02-02,,1,7
27,515,Completed,2016-01-22,2016-02-04,2016-02-03,3,8
28,237,Shipped,2016-01-22,2016-01-27,2016-01-24,1,10
29,1303,Completed,2016-01-23,2016-01-30,2016-01-26,3,2
30,348,Cancelled,2016-01-24,2016-02-04,2016-01-29,3,9
31,627,Cancelled,2016-01-25,2016-02-04,2016-01-26,3,3
32,1128,Completed,2016-01-25,2016-02-05,,2,6
33,630,Completed,2016-01-26,2016-02-07,2016-02-06,2,6
34,1272,Completed,2016-01-26,2016-02-05,2016-02-03,3,2
35,364,Pending,2016-01-27,2016-02-03,2016-01-28,2,7
36,321,Completed,2016-01-27,2016-02-02,2016-02-01,1,9
37,286,Completed,2016-01-27,2016-02-07,2016-02-17,2,10
38,149,Completed,2016-01-28,2016-02-02,2016-01-29,1,1
39,1108,Completed,2016-01-28,2016-02-04,2016-01-29,1,8
40,406,Completed,2016-01-28,2016-02-05,2016-02-09,2,2
41,978,Pending,2016-01-29,2016-02-03,2016-02-02,2,1
42,456,Cancelled,2016-01-29,2016-02-07,2016-01-31,3,8
43,800,Completed,2016-01-30,2016-02-13,2016-02-06,2,2
44,1185,Completed,2016-01-30,2016-02-06,2016-02-13,2,6
45,1013,Completed,2016-01-30,2016-02-05,2016-02-09,2,6
46,784,Processing,2016-02-01,2016-02-08,2016-02-02,1,5
47,460,Shipped,2016-02-02,2016-02-14,,1,8
48,738,Shipped,2016-02-02,2016-02-12,2016-02-14,1,3
49,509,Cancelled,2016-02-03,2016-02-14,2016-02-09,3,10
50,481,Completed,2016-02-03,2016-02-13,2016-02-09,3,4
51,114,Processing,2016-02-03,2016-02-13,,3,7
52,749,Processing,2016-02-04,2016-02-11,2016-02-08,1,7
53,361,Completed,2016-02-04,2016-02-16,2016-02-12,2,8
54,341,Cancelled,2016-02-04,2016-02-15,2016-02-09,3,2
55,770,Completed,2016-02-04,2016-02-15,2016-02-08,3,2
56,761,Pending,2016-02-05,2016-02-15,2016-02-06,1,4
57,969,Completed,2016-02-06,2016-02-15,2016-02-07,3,10
58,449,Completed,2016-02-06,2016-02-20,2016-03-13,2,9
59,835,Processing,2016-02-07,2016-02-19,2016-02-08,1,10
60,1204,Completed,2016-02-07,2016-02-16,2016-02-23,1,9
61,1431,Completed,2016-02-09,2016-02-22,2016-02-12,2,4
62,1220,Completed,2016-02-10,2016-02-23,2016-02-11,2,9
63,311,Processing,2016-02-10,2016-02-15,2016-02-26,2,3
64,262,Completed,2016-02-10,2016-02-20,2016-02-11,3,5
65,1443,Completed,2016-02-10,2016-02-21,2016-02-11,2,10
66,406,Shipped,2016-02-10,2016-02-17,2016-02-12,1,9
67,143,Processing,2016-02-10,2016-02-21,,2,6
68,342,Completed,2016-02-13,2016-02-24,2016-03-03,1,3
69,1340,Processing,2016-02-13,2016-02-19,2016-02-15,1,10
70,1125,Processing,2016-02-13,2016-02-24,2016-03-05,3,9
71,244,Shipped,2016-02-13,2016-02-18,2016-02-14,2,6
72,490,Completed,2016-02-13,2016-02-22,,3,4
73,12,Completed,2016-02-14,2016-02-27,,2,4
74,1263,Completed,2016-02-14,2016-02-25,2016-02-18,2,8
75,561,Completed,2016-02-14,2016-02-25,2016-02-17,2,7
76,42,Completed,2016-02-15,2016-02-21,2016-02-17,2,1
77,678,Completed,2016-02-16,2016-02-28,2016-02-22,2,6
78,594,Pending,2016-02-17,2016-02-24,2016-02-19,1,8
79,1182,Completed,2016-02-17,2016-02-29,2016-02-18,1,3
80,1240,Completed,2016-02-19,2016-02-26,2016-02-22,2,9
81,134,Shipped,2016-02-19,2016-03-04,2016-02-22,1,10
82,1091,Completed,2016-02-19,2016-03-01,2016-02-21,3,2
83,1031,Completed,2016-02-19,2016-02-25,2016-02-23,3,6
84,948,Processing,2016-02-20,2016-02-28,2016-02-22,3,1
85,73,Completed,2016-02-20,2016-03-01,2016-02-24,2,2
86,399,Processing,2016-02-20,2016-03-04,2016-02-21,2,5
87,1429,Processing,2016-02-21,2016-03-01,,1,1
88,578,Completed,2016-02-22,2016-03-06,,1,8
89,859,Processing,2016-02-26,2016-03-06,2016-02-27,1,1
90,130,Completed,2016-02-26,2016-03-11,2016-03-03,3,9
91,931,Completed,2016-02-26,2016-03-09,2016-02-29,3,10
92,1230,Completed,2016-02-26,2016-03-02,2016-03-13,3,3
93,266,Completed,2016-02-26,2016-03-08,2016-03-06,3,2
94,793,Shipped,2016-02-29,2016-03-08,2016-03-07,1,1
95,253,Completed,2016-03-02,2016-03-11,2016-03-03,2,9
96,822,Completed,2016-03-02,2016-03-12,,2,4
97,1313,Completed,2016-03-03,2016-03-12,2016-03-06,3,1
98,164,Completed,2016-03-04,2016-03-09,2016-03-05,2,1
99,95,Completed,2016-03-04,2016-03-17,2016-03-10,2,7
100,833,Completed,2016-03-04,2016-03-10,2016-03-10,2,2
101,1134,Processing,2016-03-06,2016-03-19,2016-03-14,3,7
102,336,Completed,2016-03-07,2016-03-21,2016-03-08,1,7
103,822,Completed,2016-03-07,2016-03-13,2016-03-11,1,10
104,238,Completed,2016-03-10,2016-03-23,2016-03-12,2,9
105,381,Completed,2016-03-10,2016-03-20,2016-03-20,1,7
106,899,Shipped,2016-03-11,2016-03-24,2016-03-13,1,1
107,483,Completed,2016-03-12,2016-03-22,2016-03-13,3,8
108,902,Completed,2016-03-12,2016-03-22,2016-03-14,3,8
109,1049,Completed,2016-03-12,2016-03-18,2016-03-15,2,4
110,1141,Processing,2016-03-13,2016-03-25,2016-03-17,2,8
111,482,Pending,2016-03-14,2016-03-21,2016-03-22,2,4
112,1416,Completed,2016-03-14,2016-03-25,2016-03-20,3,8
113,917,Processing,2016-03-15,2016-03-24,2016-03-18,1,5
114,994,Pending,2016-03-15,2016-03-22,2016-03-18,3,4
115,964,Shipped,2016-03-16,2016-03-21,2016-03-28,3,6
116,537,Processing,2016-03-17,2016-03-29,2016-04-01,1,2
117,1103,Completed,2016-03-18,2016-03-25,2016-03-22,1,2
118,1197,Completed,2016-03-18,2016-03-24,2016-03-19,2,2
119,1036,Completed,2016-03-20,2016-03-25,2016-03-21,1,9
120,128,Completed,2016-03-20,2016-03-28,2016-03-22,1,10
121,92,Cancelled,2016-03-20,2016-04-01,2016-03-21,1,3
122,543,Completed,2016-03-21,2016-03-28,2016-03-23,1,10
123,846,Completed,2016-03-21,2016-03-26,2016-03-27,2,4
124,989,Processing,2016-03-21,2016-03-29,2016-03-24,2,10
125,447,Completed,2016-03-22,2016-04-04,,1,8
126,390,Completed,2016-03-22,2016-03-27,2016-03-27,1,4
127,672,Completed,2016-03-23,2016-03-29,2016-03-27,2,10
128,43,Completed,2016-03-24,2016-04-06,2016-04-09,2,10
129,254,Processing,2016-03-24,2016-03-30,2016-03-29,1,7
130,1154,Completed,2016-03-25,2016-04-01,2016-03-31,3,5
131,1084,Completed,2016-03-25,2016-04-05,2016-03-30,2,9
132,663,Completed,2016-03-26,2016-04-02,2016-04-06,2,4
133,467,Completed,2016-03-26,2016-04-08,,2,3
