Season,Date,HomeTeam,AwayTeam,HomePTS,AwayPTS
2012-13,2012-10-30,BOS,MIA,107,120
2012-13,2012-10-30,LAL,DAL,91,99
2012-13,2012-10-31,MIA,NYK,104,84
2012-13,2012-10-31,OKC,LAL,119,79
2012-13,2012-11-01,BOS,OKC,85,97
2012-13,2012-11-01,DAL,NYK,95,105
2012-13,2012-11-02,LAL,MIA,102,110
2012-13,2012-11-02,OKC,BOS,108,88
2012-13,2012-11-03,NYK,DAL,112,99
2012-13,2012-11-03,MIA,LAL,115,107
2013-14,2013-10-29,MIA,BOS,93,96
2013-14,2013-10-29,LAL,DAL,85,92
2013-14,2013-10-30,BOS,NYK,102,97
2013-14,2013-10-30,OKC,LAL,108,92
2013-14,2013-10-31,MIA,OKC,99,103
2013-14,2013-10-31,NYK,DAL,88,95
2013-14,2013-11-01,LAL,BOS,94,99
2013-14,2013-11-01,OKC,MIA,112,95
2013-14,2013-11-02,DAL,NYK,103,98
2013-14,2013-11-02,BOS,LAL,104,88
