Player,Team,Season,Minutes,Games
LeBron James,MIA,2012-13,2877,76
Kevin Durant,OKC,2012-13,3119,81
Kobe Bryant,LAL,2012-13,3013,78
Paul Pierce,BOS,2012-13,2575,77
Carmelo Anthony,NYK,2012-13,2482,67
Dirk Nowitzki,DAL,2012-13,2121,53
Dwyane Wade,MIA,2012-13,2391,69
Russell Westbrook,OKC,2012-13,2861,82
Steve Nash,LAL,2012-13,1286,50
LeBron James,MIA,2013-14,2902,77
Kevin Durant,OKC,2013-14,3122,81
Kobe Bryant,LAL,2013-14,676,6
Paul Pierce,BOS,2013-14,2103,75
Carmelo Anthony,NYK,2013-14,2982,77
Dirk Nowitzki,DAL,2013-14,2452,80
Dwyane Wade,MIA,2013-14,2427,54
Russell Westbrook,OKC,2013-14,2302,46
Steve Nash,LAL,2013-14,526,15
